lag_label,lag_weeks,mean_ARI,NW_SE,t_stat,p_value,significant_10pct,significant_5pct
h=0 (sync),0,0.04274505351250435,0.007544954775351519,5.665382336306033,9.789625998735119e-09,True,True
h=1m,4,0.04105907590603716,0.007628019141238543,5.382665557833209,4.656574059680452e-08,True,True
h=2m,8,0.0490630119164004,0.008471731572606177,5.791379424136668,4.791623098299169e-09,True,True
h=3m,12,0.04456363089855511,0.008371267010288475,5.323403356240508,6.410792208200178e-08,True,True
