date,ticker,label,cophenetic,flagged
2007-04-06,CL,1,0.829424425269908,False
2007-04-06,NG,2,0.829424425269908,False
2007-04-06,RB,1,0.829424425269908,False
2007-04-06,GC,0,0.829424425269908,False
2007-04-06,SI,0,0.829424425269908,False
2007-04-06,HG,0,0.829424425269908,False
2007-04-06,ZC,0,0.829424425269908,False
2007-04-06,ZW,0,0.829424425269908,False
2007-04-06,ZS,0,0.829424425269908,False
2007-04-13,CL,0,0.8468462098428946,False
2007-04-13,NG,2,0.8468462098428946,False
2007-04-13,RB,0,0.8468462098428946,False
2007-04-13,GC,1,0.8468462098428946,False
2007-04-13,SI,1,0.8468462098428946,False
2007-04-13,HG,1,0.8468462098428946,False
2007-04-13,ZC,1,0.8468462098428946,False
2007-04-13,ZW,1,0.8468462098428946,False
2007-04-13,ZS,1,0.8468462098428946,False
2007-04-20,CL,0,0.8342597663285521,False
2007-04-20,NG,2,0.8342597663285521,False
2007-04-20,RB,0,0.8342597663285521,False
2007-04-20,GC,1,0.8342597663285521,False
2007-04-20,SI,1,0.8342597663285521,False
2007-04-20,HG,1,0.8342597663285521,False
2007-04-20,ZC,2,0.8342597663285521,False
2007-04-20,ZW,1,0.8342597663285521,False
2007-04-20,ZS,2,0.8342597663285521,False
2007-04-27,CL,0,0.8441679557448942,False
2007-04-27,NG,2,0.8441679557448942,False
2007-04-27,RB,0,0.8441679557448942,False
2007-04-27,GC,1,0.8441679557448942,False
2007-04-27,SI,1,0.8441679557448942,False
2007-04-27,HG,1,0.8441679557448942,False
2007-04-27,ZC,2,0.8441679557448942,False
2007-04-27,ZW,1,0.8441679557448942,False
2007-04-27,ZS,2,0.8441679557448942,False
2007-05-04,CL,0,0.781801427201254,False
2007-05-04,NG,0,0.781801427201254,False
2007-05-04,RB,0,0.781801427201254,False
2007-05-04,GC,2,0.781801427201254,False
2007-05-04,SI,2,0.781801427201254,False
2007-05-04,HG,2,0.781801427201254,False
2007-05-04,ZC,1,0.781801427201254,False
2007-05-04,ZW,2,0.781801427201254,False
2007-05-04,ZS,1,0.781801427201254,False
2007-05-11,CL,0,0.7779068435088176,False
2007-05-11,NG,0,0.7779068435088176,False
2007-05-11,RB,0,0.7779068435088176,False
2007-05-11,GC,2,0.7779068435088176,False
2007-05-11,SI,2,0.7779068435088176,False
