lag,M1_MM,M2_PM,M3_SD,M4_OR,M5_combined
0,0.042745053512504336,0.03961460746633376,0.020747468386986788,0.03366238040180746,0.07274932994646585
4,0.04105907590603717,0.03470887257722665,0.025039529116553993,0.03684424510787808,0.07528452466799476
8,0.0490630119164004,0.035798617464418175,0.02250982374198273,0.029779422559457466,0.07394765861829848
12,0.044563630898555105,0.03794019810548804,0.02279832821149889,0.028025134557526067,0.07459242208917578
